like it just bc I wore a sweatshirt in the TX heat 😤 #LDS #mormon @duruin
Cows confirmed not good retrievers. #cow #water #summer #capecod #fullsend #whosethirsty #milkme
Debating on writing my college essay abt this but my family in India would like disown me #elfMagicAct #TokyoOlympics #BestCosplay #LetsFaceIt #fyp
Let’s debate yalls ib: @heybabyromy #asian #fyp #foryou
Was a fun morning. #helicopter # wakesurfing # nautique # wakeboat # fyp
I am snatching all of the challenges for straight couples and making them gay @ianpaget_ #couple #couplechallenge #letshavebabies #LetsFaceIt
I think I got confidence since then #fyp #foryou
like it just bc I wore a sweatshirt in the TX heat 😤 #LDS #mormon @duruin
Cows confirmed not good retrievers. #cow #water #summer #capecod #fullsend #whosethirsty #milkme
Debating on writing my college essay abt this but my family in India would like disown me #elfMagicAct #TokyoOlympics #BestCosplay #LetsFaceIt #fyp
Let’s debate yalls ib: @heybabyromy #asian #fyp #foryou
Was a fun morning. #helicopter # wakesurfing # nautique # wakeboat # fyp
I am snatching all of the challenges for straight couples and making them gay @ianpaget_ #couple #couplechallenge #letshavebabies #LetsFaceIt
I think I got confidence since then #fyp #foryou
